temp_c,precip_mm,humidity,pressure_mb,wind_kph,cloud,dewpoint_c,feelslike_c,vis_km,gust_kph,condition,dewpoint_depression,hour,condition_encoded
24.5,0.1,83,999.0,10.8,86,21.5,26.6,10.0,14.1,Patchy rain possible,3.0,1,0
26.6,0.2,77,1014.0,4.3,83,22.4,29.3,10.0,5.3,Patchy rain possible,4.200000000000003,8,0
17.2,0.0,92,1013.0,9.4,15,15.9,19.2,10.0,12.7,Clear,1.299999999999999,1,3
20.9,0.0,72,1017.0,3.2,20,15.7,22.9,10.0,8.9,Sunny,5.199999999999999,10,8
26.1,0.0,86,1006.0,9.0,12,23.6,29.3,10.0,11.2,Clear,2.5,1,3
23.8,0.5,87,1013.0,2.5,100,21.6,26.0,10.0,4.3,Moderate rain at times,2.1999999999999997,2,6
23.6,0.0,84,1008.0,14.4,8,20.7,25.6,10.0,17.6,Sunny,2.900000000000002,16,8
28.8,1.93,88,1006.0,11.2,65,24.6,33.9,7.0,20.5,Moderate or heavy rain shower,4.199999999999999,18,4
22.9,0.0,82,1005.0,7.9,23,19.8,25.1,10.0,9.9,Clear,3.099999999999998,5,3
25.2,0.0,90,1011.0,5.8,34,23.5,28.1,10.0,10.9,Partly cloudy,1.6999999999999993,23,2
25.6,0.2,92,1008.0,7.6,100,24.4,29.1,10.0,11.5,Patchy rain possible,1.2000000000000028,18,0
23.4,0.1,91,1017.0,2.9,88,22.1,25.7,10.0,5.5,Patchy rain possible,1.2999999999999972,22,0
19.2,0.0,87,1014.0,4.6,5,17.1,21.2,10.0,8.2,Clear,2.099999999999998,19,3
30.1,0.0,68,1010.0,7.2,9,22.5,34.6,10.0,14.4,Sunny,7.600000000000001,9,8
19.2,0.0,84,1023.0,9.7,100,16.5,21.2,10.0,13.5,Overcast,2.6999999999999997,0,7
20.6,0.0,80,1017.0,9.3,97,16.9,22.6,10.0,14.8,Overcast,3.700000000000003,19,7
20.8,0.0,78,1019.0,10.6,69,16.8,22.8,10.0,17.4,Cloudy,4.0,6,1
19.9,0.0,86,1012.0,10.1,9,18.4,21.9,10.0,13.4,Sunny,1.5,8,8
26.4,0.0,76,1012.0,14.0,25,21.8,28.9,10.0,21.2,Sunny,4.599999999999998,14,8
25.0,0.3,89,1012.0,6.5,71,23.1,27.7,10.0,9.5,Patchy rain possible,1.8999999999999984,7,0
24.2,0.0,72,1009.0,15.1,0,18.8,25.9,10.0,22.2,Sunny,5.399999999999999,14,8
24.4,0.0,83,1009.0,14.4,9,21.4,26.5,10.0,23.5,Sunny,3.0,16,8
26.6,0.0,83,1009.0,5.8,7,23.5,29.8,10.0,8.6,Sunny,3.1000000000000014,7,8
26.0,2.4,86,1013.0,12.6,87,23.6,29.2,9.0,20.6,Moderate or heavy rain shower,2.3999999999999986,12,4
23.5,0.1,74,1015.0,10.1,82,18.6,25.4,10.0,17.0,Patchy rain possible,4.899999999999999,12,0
29.2,0.1,73,1012.0,9.4,84,23.9,33.8,10.0,15.6,Patchy rain possible,5.300000000000001,11,0
25.0,0.0,88,1009.0,8.3,23,23.0,27.7,10.0,14.5,Clear,2.0,4,3
30.3,0.0,77,1007.0,11.8,75,24.8,36.1,9.0,23.3,Cloudy,5.5,18,1
25.6,0.0,70,1011.0,9.0,8,19.7,27.3,10.0,10.4,Sunny,5.900000000000002,9,8
22.7,0.0,88,1008.0,5.7,32,20.7,25.0,10.0,7.5,Partly cloudy,2.0,23,2
20.3,0.0,89,1016.0,9.4,100,18.4,22.3,10.0,9.6,Overcast,1.900000000000002,0,7
27.2,0.0,74,1005.0,6.0,6,22.1,29.9,10.0,12.8,Clear,5.099999999999998,23,3
26.3,2.3,88,1004.0,10.8,55,24.1,29.8,10.0,14.3,Moderate or heavy rain shower,2.1999999999999997,8,4
22.8,0.0,88,1016.0,9.7,54,20.6,25.0,10.0,15.6,Partly cloudy,2.1999999999999997,0,2
26.8,0.0,85,1008.0,9.0,18,24.1,30.6,10.0,12.2,Clear,2.6999999999999997,23,3
27.2,0.0,86,1006.0,8.4,48,24.4,31.3,10.0,18.6,Partly cloudy,2.8000000000000007,23,2
24.1,1.8,89,1015.0,15.4,98,22.2,26.4,10.0,28.3,Moderate or heavy rain shower,1.900000000000002,21,4
19.7,0.2,91,1015.0,10.1,100,18.2,21.7,2.0,15.0,Patchy rain possible,1.5,2,0
20.8,0.0,90,1018.0,7.9,100,19.1,22.8,10.0,11.3,Overcast,1.6999999999999993,22,7
22.2,0.0,95,1013.0,3.6,56,21.4,24.7,2.0,5.7,Partly cloudy,0.8000000000000007,0,2
20.8,0.3,85,1021.0,8.6,77,18.2,22.8,9.0,14.4,Patchy rain possible,2.6000000000000014,1,0
25.4,0.0,83,1005.0,8.6,62,22.3,27.8,10.0,11.2,Cloudy,3.099999999999998,1,1
29.1,0.0,80,1007.0,5.8,8,24.1,33.8,10.0,15.0,Sunny,5.0,18,8
25.1,0.0,89,1008.0,5.0,63,23.2,27.9,10.0,8.3,Cloudy,1.900000000000002,1,1
25.4,0.0,88,1007.0,8.3,13,23.3,28.2,10.0,10.7,Clear,2.099999999999998,2,3
25.1,0.1,88,1013.0,5.8,77,23.0,27.8,10.0,9.3,Patchy rain possible,2.1000000000000014,22,0
27.1,0.1,84,1014.0,11.5,81,24.2,31.0,10.0,19.7,Patchy rain possible,2.900000000000002,10,0
21.3,0.0,77,1018.0,5.7,84,17.2,23.3,10.0,13.5,Cloudy,4.100000000000001,9,1
30.6,1.28,76,1003.0,11.5,83,24.4,36.5,9.0,14.3,Heavy rain at times,6.200000000000003,16,5
26.4,0.0,82,1008.0,5.2,17,23.0,29.4,10.0,13.0,Sunny,3.3999999999999986,7,8
28.2,0.0,85,1008.0,7.2,84,23.9,32.5,9.0,13.4,Cloudy,4.300000000000001,22,1
24.3,0.4,88,1012.0,6.8,69,22.2,26.6,10.0,11.4,Patchy rain possible,2.1000000000000014,2,0
21.4,0.1,86,1018.0,4.3,88,18.9,23.4,10.0,6.4,Patchy rain possible,2.5,7,0
27.0,0.0,87,1007.0,9.5,46,24.4,31.0,10.0,22.9,Partly cloudy,2.6000000000000014,22,2
20.3,0.0,80,1016.0,6.1,54,16.7,22.3,10.0,10.3,Partly cloudy,3.6000000000000014,5,2
25.0,0.0,79,1012.0,6.1,4,21.2,27.1,10.0,8.1,Sunny,3.8000000000000007,7,8
24.9,0.0,86,1007.0,5.4,18,22.5,27.4,10.0,10.4,Sunny,2.3999999999999986,6,8
18.8,0.0,93,1012.0,9.4,22,17.6,20.8,10.0,10.9,Sunny,1.1999999999999993,7,8
29.2,0.0,77,1002.0,15.1,70,24.9,34.7,9.0,24.4,Cloudy,4.300000000000001,16,1
19.4,0.0,92,1011.0,6.1,9,18.1,21.4,10.0,11.3,Clear,1.2999999999999972,21,3
19.8,0.0,83,1016.0,2.5,100,16.8,21.8,10.0,7.9,Overcast,3.0,1,7
23.3,0.0,95,1010.0,7.9,22,22.4,25.7,2.0,8.4,Clear,0.9000000000000021,0,3
22.3,0.3,85,1019.0,3.2,83,19.6,24.7,10.0,8.3,Patchy rain possible,2.6999999999999997,9,0
23.9,0.0,88,1011.0,12.6,53,21.9,26.2,10.0,18.5,Partly cloudy,2.0,16,2
20.9,0.0,95,1012.0,8.3,51,20.1,22.9,2.0,13.5,Partly cloudy,0.7999999999999972,0,2
21.7,0.0,79,1013.0,8.3,0,18.0,23.7,10.0,9.7,Sunny,3.6999999999999993,9,8
