time,temp_c,precip_mm,humidity,pressure_mb,wind_kph,cloud,dewpoint_c,feelslike_c,vis_km,gust_kph,wind_dir,condition,dewpoint_depression
2025-05-08 15:00,32.2,0.0,70,1003.0,12.1,14,25.0,40.6,10.0,19.3,E,Sunny,7.200000000000003
2024-12-19 09:00,21.6,0.2,85,1020.0,14.7,100,18.9,23.6,9.0,25.4,NE,Patchy rain possible,2.700000000000003
2025-05-07 19:00,28.9,0.0,91,1006.0,10.3,79,24.1,37.0,9.0,19.3,SSW,Cloudy,4.799999999999997
2024-07-25 23:00,28.2,0.0,67,999.0,11.0,40,21.6,30.9,10.0,19.6,SW,Partly cloudy,6.599999999999998
2025-01-07 22:00,19.9,0.3,84,1016.0,3.6,71,17.2,21.9,10.0,5.9,SSW,Patchy rain possible,2.6999999999999993
2024-12-20 00:00,19.9,0.3,86,1018.0,9.4,90,17.5,21.9,10.0,14.6,NE,Patchy rain possible,2.3999999999999986
2025-04-25 01:00,24.3,0.0,81,1008.0,5.0,9,20.8,26.3,10.0,7.3,SSW,Clear,3.5
2024-10-22 05:00,25.2,2.5,90,1012.0,9.9,93,23.5,28.1,10.0,21.3,NE,Moderate or heavy rain shower,1.6999999999999993
2024-11-22 22:00,24.1,1.3,88,1015.0,16.0,100,22.0,26.3,10.0,30.7,NE,Heavy rain at times,2.1000000000000014
2024-07-12 22:00,26.7,0.0,92,1005.0,11.1,81,24.6,30.8,10.0,20.5,SW,Cloudy,2.099999999999998
2024-11-02 21:00,23.2,0.0,83,1014.0,9.5,70,20.1,25.3,10.0,16.7,NW,Cloudy,3.099999999999998
2024-07-16 19:00,26.8,0.7,88,1003.0,2.5,82,24.2,30.6,10.0,8.2,WNW,Moderate rain at times,2.6000000000000014
2025-04-20 02:00,23.6,0.0,90,1007.0,7.9,17,21.9,25.9,10.0,10.6,SSW,Clear,1.7000000000000028
2025-02-25 07:00,21.2,1.3,92,1022.0,9.9,100,19.9,23.2,2.0,15.6,NE,Heavy rain at times,1.3000000000000007
2024-07-23 01:00,25.3,0.0,87,1003.0,9.2,52,23.0,28.0,10.0,19.1,SW,Partly cloudy,2.3000000000000007
2024-10-28 21:00,20.8,0.1,94,1008.0,8.6,100,19.8,22.8,9.0,12.6,W,Patchy rain possible,1.0
2024-11-05 13:00,24.3,4.75,91,1013.0,19.1,100,22.7,26.8,7.0,34.4,NE,Moderate or heavy rain shower,1.6000000000000014
2024-08-31 07:00,26.9,0.0,74,1007.0,5.4,31,21.8,29.4,10.0,7.6,WSW,Partly cloudy,5.099999999999998
2024-08-03 16:00,31.6,0.0,73,1006.0,13.7,82,24.0,37.6,9.0,18.3,NE,Cloudy,7.600000000000001
2025-04-13 20:00,21.5,0.0,79,1016.0,13.7,100,17.0,23.5,10.0,17.6,NW,Overcast,4.5
2024-12-03 00:00,23.1,0.0,88,1013.0,1.8,100,21.0,25.3,10.0,2.7,ESE,Overcast,2.1000000000000014
2024-11-09 00:00,22.2,0.0,84,1015.0,8.6,86,19.3,24.6,10.0,13.5,WNW,Overcast,2.8999999999999986
2024-07-26 14:00,32.9,0.0,64,999.0,13.0,31,23.1,38.6,10.0,25.8,SW,Partly cloudy,9.799999999999997
2024-10-14 14:00,27.6,1.8,83,1009.0,15.8,83,24.4,31.8,9.0,25.7,NNE,Moderate or heavy rain shower,3.200000000000003
2025-02-28 03:00,19.8,0.0,94,1013.0,6.1,56,18.9,21.8,2.0,9.9,SSW,Partly cloudy,0.9000000000000021
2025-05-20 10:00,31.5,0.0,59,1008.0,10.1,18,22.6,35.9,10.0,16.3,ESE,Sunny,8.899999999999999
2025-04-20 01:00,23.8,0.0,90,1007.0,7.6,17,22.1,26.1,10.0,9.8,SSW,Clear,1.6999999999999993
2024-08-03 11:00,33.0,0.0,64,1008.0,11.2,88,23.6,39.0,10.0,17.6,ENE,Overcast,9.399999999999999
2025-02-13 15:00,22.2,0.0,96,1012.0,11.5,100,21.6,24.7,2.0,20.0,NNE,Overcast,0.5999999999999979
2025-05-01 13:00,31.2,0.0,66,1010.0,16.6,83,22.1,36.8,10.0,25.7,E,Cloudy,9.099999999999998
2024-07-30 18:00,28.6,0.0,81,1006.0,5.8,61,24.3,33.2,10.0,15.2,E,Cloudy,4.300000000000001
2024-05-26 01:00,25.9,0.0,88,1008.0,6.5,55,23.8,29.1,10.0,10.7,SSW,Partly cloudy,2.099999999999998
2024-11-05 11:00,24.5,2.17,90,1015.0,20.5,100,22.8,27.0,7.0,41.8,NE,Moderate or heavy rain shower,1.6999999999999993
2025-02-10 21:00,19.1,0.0,91,1017.0,7.2,100,17.6,21.1,10.0,10.8,NW,Overcast,1.5
2024-10-23 16:00,26.5,0.0,81,1010.0,16.9,84,23.0,29.5,9.0,25.9,NNE,Cloudy,3.5
2024-08-11 14:00,35.5,0.0,63,1000.0,15.2,73,24.1,43.4,9.0,22.9,ENE,Cloudy,11.399999999999999
2024-12-19 08:00,21.5,0.8,86,1019.0,13.4,100,19.0,23.5,9.0,20.2,NE,Moderate rain at times,2.5
